NAME	DESCRIPTION	1	2	3	4
SLC25A5	na	0.015538650025490224	0.1142719737194631	0.052401534626447296	0.033607743773631245
CRLF1	na	0.0	0.0	0.0	0.0
TMEM98	na	0.018690430811165674	0.11087752469023689	0.33119221184341396	0.049209585043933954
NUDCD3	na	0.1318447261875225	0.2640189422893098	5.808306131006741e-17	0.07739383018712633
PHLDB1	na	0.13436083150379546	0.07177402183015114	0.2171245000811001	0.05459195600187204
CTNS	na	0.18973336621776635	0.13036586334226688	0.03604253122954016	0.022851800286534215
OFD1	na	4.1952625427561236e-15	0.1627985647946994	8.796274258650161e-26	0.0365512745803824
PHPT1	na	0.009291373622581965	0.1846802262999393	0.1882864883905885	0.0878728693891734
CROCC	na	0.014550695387101227	0.0871179022763015	4.350139852580175e-19	0.05641459814625538
RASAL2	na	0.0	0.0	0.0	0.0
MARK3	na	5e-324	2.917171078887365e-19	0.17401081582760464	0.0810210988361567
XRCC5	na	4.779381642987685e-16	0.1610245019262562	0.09408600141992783	0.03896906652376257
COL16A1	na	0.2654388112823583	0.2411614791221319	0.03999601507118703	0.10520302313226157
PAPOLA	na	2.2685089871223175e-13	0.09098471729382207	1.2537255734972633e-12	0.04817637981193134
TNRC6A	na	1.1070095981460709e-13	0.10646322230852374	1.0853017368908902e-14	0.03235562244302621
SEMA6A	na	13.764754160466946	1.2456040963241105e-18	3.065839730221431e-31	5.263093762795341e-12
MYL6	na	0.011256324117398648	0.4398897845237938	0.4400569756872237	0.2056848386227109
HSP90AB1	na	0.04996354276849873	0.22448476202114734	0.3998160553618271	0.12987183313831452
LZTR1	na	0.14951232929909603	1.1686170326400597e-15	0.41091402581876796	0.06551898265943834
LGALS1	na	0.0746674775687912	0.323350572113297	0.11130316402873666	0.09519313696855697
PPP6R2	na	0.03288729726318384	0.10586026262882638	0.042477892151656815	0.06454683290315988
TTLL1	na	0.2856024560438219	2.0318904633313492e-18	0.3660516356525932	0.08048144861788553
MRGBP	na	0.0319402947613417	4.864384956121288e-15	0.21020875514219017	0.036788292652429805
MANBAL	na	3.944304526105059e-31	1.5303328593310594e-19	0.38302198317241	0.10143511054999751
ACOT8	na	0.1013467896915229	2.0896076368070903e-18	0.1895935799436681	0.060492676817281855
PIN4	na	0.00434270447387543	0.08478528913278374	0.17431466220547218	0.053513825252100355
DGKH	na	0.0	0.0	0.0	0.0
METRN	na	0.06416912093395416	0.08232240456022133	1.1231286924063058e-16	0.03814184615746307
STUB1	na	0.13000612045765564	0.1759879541198307	0.1645290123962309	0.06839475419767095
EEF1D	na	0.18511658307019607	0.4355750340357739	0.13910580381755408	0.1149263547602344
