,0
644,1991
645,1835
646,2345
647,2720
648,2240
649,2097
650,1702
651,2166
652,1658
653,1998
654,2927
655,1860
656,1143
657,3092
658,2014
659,1660
660,1249
661,1307
662,1989
663,2205
664,1747
665,1798
666,909
667,1369
668,830
669,1288
670,1462
671,1508
672,1691
673,1468
674,1597
675,1401
676,1782
677,2332
678,2525
679,1974
680,3242
681,2300
682,1765
683,2997
684,3237
685,2628
686,1696
687,2604
688,2629
689,3176
690,2663
691,2374
692,3182
693,3222
694,1707
695,1538
696,2326
697,3048
698,2380
699,3152
700,2002
701,2308
702,1395
703,1911
704,943
705,2085
706,1661
707,1273
708,2075
709,2839
710,2730
711,2121
712,2831
713,1852
714,1744
715,1994
716,2109
717,1176
718,1074
719,1139
720,819
721,1050
722,1011
723,1007
724,1771
725,1173
726,1938
727,2392
728,1732
729,1710
730,1367
731,1040
732,2341
733,2957
734,2428
735,1957
736,2851
737,2758
738,2887
739,2568
740,2739
741,2686
742,3007
743,1640
744,1663
745,2473
746,3018
747,2151
748,2726
749,3275
750,1652
751,1684
752,3000
753,1309
754,1549
755,2582
756,2931
757,1875
758,1430
759,1439
760,2209
761,1425
762,1311
763,1289
764,1696
765,1688
766,1391
767,2431
768,1328
769,2085
770,1630
771,2004
772,1489
773,908
774,1313
775,1408
776,1669
777,1297
778,1428
779,852
780,1670
781,1396
782,1725
783,1558
784,1070
785,1592
786,1343
787,2132
788,1697
789,968
790,1790
791,1959
792,1743
793,3063
794,2416
795,2045
796,1783
797,3119
798,2406
799,1447
800,3284
801,1992
802,2610
803,2121
804,1718
805,2109
806,2861
807,1775
808,2403
809,2448
810,2400
811,3317
812,2554
813,2273
814,2184
815,1104
816,1414
817,1290
818,2591
819,1936
820,1288
821,2022
822,1361
823,1419
824,1058
825,1113
826,1136
827,1372
828,1652
829,1316
830,1135
831,1375
832,1611
833,1612
834,1144
835,772
836,1412
837,1048
838,1572
839,1025
840,1654
841,1252
842,2207
843,1818
844,1332
845,1477
846,1585
847,1572
848,2191
849,2027
850,2349
851,2799
852,2205
853,2177
854,1854
855,2168
856,3045
857,2603
858,2089
859,3045
860,3276
861,3219
862,1826
863,3350
864,3348
865,2016
866,2024
867,2891
868,2515
869,2415
870,910
871,1611
872,1604
873,2641
874,2605
875,2722
876,1582
877,1550
878,1780
879,2457
880,2266
881,2117
882,1966
883,2288
884,1607
885,883
886,1369
887,601
888,1395
889,1534
890,1541
891,1278
892,2426
893,2004
894,785
895,1362
896,763
897,1068
898,1347
899,1261
900,1421
901,2295
902,2784
903,1924
904,2128
905,1492
906,1400
907,2451
908,3232
909,2633
910,2745
911,2713
912,2067
913,1394
914,2240
915,1893
916,3053
917,3121
918,2305
919,3135
920,2581
921,4616
922,2846
923,2765
924,2841
925,2576
926,3762
927,2732
928,2247
929,2476
930,1561
931,2256
932,2978
933,3420
934,1953
935,1806
936,2427
937,930
938,1033
939,2288
940,1768
941,2926
942,2458
943,2708
944,580
945,1295
946,2545
947,2927
948,3120
949,1158
950,1211
951,2865
952,1866
953,2335
954,1496
955,1116
956,1573
957,664
958,586
959,999
960,1271
961,2993
962,2418
963,1800
964,2873
965,2479
966,2021
967,1993
968,2059
969,1503
970,347
971,2024
972,2756
973,2229
974,1574
975,2036
976,3007
977,2137
978,2769
979,1944
980,4148
981,2283
982,2524
983,2497
984,2654
985,2941
986,3079
987,3184
988,2589
989,2654
990,2553
991,2548
992,1788
993,2313
994,2566
995,1974
996,1959
997,3522
998,3159
999,3028
1000,3441
1001,3053
1002,2996
1003,2404
1004,1010
1005,2247
1006,3955
1007,2546
1008,1608
1009,1783
1010,1936
1011,1669
1012,2249
1013,2396
1014,1548
1015,1999
1016,1414
1017,1245
1018,1335
1019,1755
1020,1802
1021,1766
1022,1856
1023,3180
1024,1209
1025,1969
1026,2765
1027,3387
1028,2803
1029,3390
1030,1578
1031,2810
1032,3143
1033,2111
1034,3986
1035,2606
1036,2530
1037,1791
1038,1867
1039,3266
1040,2670
1041,2339
1042,3699
1043,3539
1044,3514
1045,3354
1046,2069
1047,3440
1048,2204
1049,1825
1050,3620
1051,2789
1052,2064
1053,2092
1054,2137
1055,2424
1056,2685
1057,2963
1058,3835
1059,2473
1060,2605
1061,3338
1062,2061
1063,1231
1064,3119
1065,1664
1066,3023
1067,1030
1068,1811
1069,1743
1070,1867
1071,1124
1072,1389
1073,3430
1074,2121
1075,1358
1076,1115
1077,1289
1078,2138
1079,1314
1080,1268
1081,1187
1082,2414
1083,1650
1084,1644
1085,1732
1086,1855
1087,1256
1088,1723
1089,1990
1090,1296
1091,2025
1092,3005
1093,2770
1094,3406
1095,1663
1096,1908
1097,2873
1098,3132
1099,2970
1100,2243
1101,2166
1102,2808
1103,2411
1104,2676
1105,2444
1106,2566
1107,1919
1108,1651
1109,4186
1110,1819
1111,1458
1112,2844
1113,2085
1114,4365
1115,3464
1116,2535
1117,2039
1118,2860
1119,2097
1120,1872
1121,3304
1122,1837
1123,2275
1124,2803
1125,3085
1126,2722
1127,1965
1128,2119
1129,1658
1130,1097
1131,1091
1132,2305
1133,3144
1134,1531
1135,1656
1136,2371
1137,2239
1138,1683
1139,1407
1140,2100
1141,1832
1142,1318
1143,1457
1144,2389
1145,1490
1146,1815
1147,1612
1148,1491
1149,1408
1150,1516
1151,1386
1152,1676
1153,1361
1154,1680
1155,1941
1156,2391
1157,1822
1158,1815
1159,1374
1160,1742
1161,2779
1162,1484
1163,3786
1164,2238
1165,2204
1166,2221
1167,2385
1168,2497
1169,3262
1170,3134
1171,2205
1172,1557
1173,2670
1174,2792
1175,2364
1176,1433
1177,2920
1178,3074
1179,2596
1180,3691
1181,3586
1182,2976
1183,2103
1184,2430
1185,4132
1186,2353
1187,2818
1188,2679
1189,2450
1190,1908
1191,2391
1192,3417
1193,3754
1194,1345
1195,2866
1196,2203
1197,2160
1198,1961
1199,1220
1200,1205
1201,886
1202,1013
1203,2042
1204,2099
1205,3086
1206,3330
1207,1225
1208,1279
1209,1014
1210,1442
1211,1869
1212,1861
1213,1210
1214,2659
1215,739
1216,1208
1217,2307
1218,2515
1219,1613
1220,1231
1221,2264
1222,2980
1223,2330
1224,3382
1225,1646
1226,2227
1227,2259
1228,2362
1229,1889
1230,2491
1231,2248
1232,2802
1233,2349
1234,1583
1235,2586
1236,3431
1237,2737
1238,4051
1239,2286
1240,2824
1241,2239
1242,4640
1243,2182
1244,2970
1245,1633
1246,4464
1247,1669
1248,3838
1249,2222
1250,2979
1251,2800
1252,2779
1253,2224
1254,1694
1255,1751
1256,927
1257,1723
1258,1262
1259,2150
1260,2943
1261,1080
1262,1064
1263,3694
1264,2714
1265,1222
1266,959
1267,1130
1268,2929
1269,1495
1270,1374
1271,1768
1272,1147
1273,2299
1274,1822
1275,1852
1276,1146
1277,2718
1278,1326
1279,2896
1280,1057
1281,1635
1282,2268
1283,2032
1284,2274
1285,2592
1286,3386
1287,2321
1288,3363
1289,1901
1290,2647
1291,2620
1292,3208
1293,3015
1294,2069
1295,2988
1296,2938
1297,4217
1298,4249
1299,2900
1300,1411
1301,1241
1302,1799
1303,2346
1304,2966
1305,1836
1306,2647
1307,2919
1308,1022
1309,2077
1310,1860
1311,3660
1312,1478
1313,1406
1314,1673
1315,1555
1316,1357
1317,1399
1318,1272
1319,1218
1320,1830
1321,1858
1322,1639
1323,2147
1324,2010
1325,1231
1326,2179
1327,1900
1328,1636
1329,1344
1330,1407
1331,2646
1332,2673
1333,2384
1334,1922
1335,1542
1336,1531
1337,1300
1338,2361
1339,2322
1340,2653
1341,2444
1342,1933
1343,3242
1344,1929
1345,1661
1346,2925
1347,2388
1348,2221
1349,3219
1350,3263
1351,2752
1352,3159
1353,3550
1354,2789
1355,1651
1356,1495
1357,1476
1358,4035
1359,2123
1360,1244
1361,3654
1362,686
1363,2557
1364,1567
1365,2870
1366,3547
1367,1087
1368,1714
1369,1353
1370,2571
1371,2997
1372,1152
1373,2498
1374,2073
1375,2836
1376,1408
1377,2053
1378,2232
1379,2440
1380,3119
1381,1168
1382,1995
1383,1059
1384,1681
1385,2677
1386,1650
1387,1606
1388,2673
1389,3598
1390,1110
1391,1938
1392,2848
1393,2543
1394,1544
1395,2175
1396,1578
1397,1524
1398,2412
1399,1491
1400,3008
1401,4357
1402,2783
1403,2774
1404,991
1405,802
1406,1552
1407,2152
1408,2472
1409,1309
1410,2569
1411,2117
1412,915
1413,1106
1414,1324
1415,1364
1416,2544
1417,2763
1418,2800
1419,867
1420,1671
1421,1237
1422,1951
1423,1819
1424,1119
1425,1137
1426,2092
1427,2638
1428,1640
1429,2499
1430,2522
1431,2354
1432,1513
1433,3203
1434,1828
1435,1955
1436,2699
1437,1545
1438,1999
1439,2120
1440,2349
1441,1375
1442,1596
1443,2773
1444,1328
1445,2638
1446,2896
1447,2441
1448,1903
1449,1547
1450,3353
1451,2881
1452,2182
1453,1778
1454,2458
1455,2789
1456,2146
1457,1422
1458,970
1459,2244
1460,1340
1461,1201
1462,1533
1463,1411
1464,3374
1465,1777
1466,1257
1467,2033
1468,2643
1469,3837
1470,1054
1471,3072
1472,2378
1473,982
1474,1000
1475,2026
1476,1697
1477,1946
1478,1852
1479,967
1480,1971
1481,2483
1482,955
1483,1470
1484,2469
1485,1508
1486,1127
1487,1867
1488,1148
1489,1513
1490,2696
1491,1123
1492,1872
1493,1796
1494,2264
1495,2244
1496,1770
1497,1747
1498,1243
1499,1948
1500,1813
1501,2656
1502,2439
1503,2005
1504,1634
1505,4145
1506,2755
1507,1712
1508,1886
1509,1514
1510,2677
1511,1473
1512,2502
1513,1896
1514,1040
1515,2428
1516,2585
1517,2128
1518,1110
1519,1367
1520,2436
1521,3905
1522,2064
1523,1846
1524,1075
1525,2284
1526,1322
1527,2488
1528,2582
1529,2881
1530,1218
1531,2936
1532,3130
1533,2495
1534,1470
1535,2432
1536,753
1537,1500
1538,945
1539,1280
1540,3768
1541,3422
1542,3578
1543,2125
1544,2587
1545,3628
1546,2252
1547,2351
1548,2150
1549,2012
1550,3054
1551,2675
1552,1834
1553,2139
1554,1451
1555,1082
1556,1528
1557,1221
1558,1060
1559,1920
1560,959
1561,1411
1562,1182
1563,2156
1564,1319
1565,2721
1566,2538
1567,922
1568,2528
1569,2362
1570,2589
1571,2102
1572,2713
1573,895
1574,2248
1575,1919
1576,2072
1577,1144
1578,1720
1579,1723
1580,2712
1581,2436
1582,1651
1583,1111
1584,1052
1585,2299
1586,1479
1587,2136
1588,3222
1589,2961
1590,1708
1591,3109
1592,1338
1593,799
1594,781
1595,1604
1596,1826
1597,2288
1598,1203
1599,1525
1600,1286
1601,1981
1602,2537
1603,939
1604,2022
1605,1824
1606,3721
1607,2339
1608,2710
1609,2000
1610,3220
1611,2005
1612,1933
1613,3884
1614,3058
1615,2364
1616,1757
1617,506
1618,1467
1619,735
1620,1286
1621,1416
1622,2073
1623,1343
1624,1705
1625,2076
1626,2841
1627,2552
1628,2759
1629,3150
1630,1499
1631,3438
1632,1426
1633,4588
1634,4343
1635,3337
1636,2051
1637,1562
1638,1352
1639,1839
1640,1284
1641,2270
1642,3313
1643,1802
1644,1071
1645,1068
1646,1312
1647,1423
1648,2213
1649,1863
1650,1889
1651,1512
1652,1948
1653,1227
1654,877
1655,1060
1656,832
1657,1979
1658,2185
1659,2103
1660,3780
1661,3220
1662,2101
1663,1219
1664,2228
1665,1026
1666,2448
1667,1185
1668,3022
1669,1246
1670,1655
1671,1735
1672,1123
1673,1311
1674,1162
1675,2650
1676,2688
1677,3664
1678,2200
1679,2912
1680,2383
1681,2040
1682,3370
1683,2041
1684,1791
1685,1038
1686,2341
1687,1945
1688,2819
1689,3186
1690,2067
1691,788
1692,3512
1693,1037
1694,1221
